0,1,2,3,4,5,6,7,Class
-59.0,-58.0,-59.0,-68.0,-67.0,-54.0,-52.0,-49.0,4
-59.0,-56.0,-62.0,-66.0,-64.0,-62.0,-54.0,-48.0,4
-60.0,-54.0,-63.0,-65.0,-65.0,-66.0,-51.0,-49.0,4
-58.0,-56.0,-63.0,-66.0,-67.0,-58.0,-53.0,-48.0,4
-60.0,-58.0,-66.0,-65.0,-71.0,-63.0,-52.0,-48.0,4
-60.0,-59.0,-65.0,-66.0,-65.0,-56.0,-53.0,-50.0,4
-59.0,-58.0,-65.0,-73.0,-61.0,-60.0,-53.0,-51.0,4
-61.0,-56.0,-66.0,-62.0,-66.0,-63.0,-53.0,-50.0,4
-54.0,-58.0,-64.0,-67.0,-65.0,-60.0,-53.0,-50.0,4
-62.0,-58.0,-67.0,-63.0,-71.0,-63.0,-53.0,-49.0,4
-62.0,-55.0,-67.0,-66.0,-72.0,-57.0,-54.0,-51.0,4
-60.0,-57.0,-67.0,-67.0,-70.0,-64.0,-55.0,-50.0,4
-63.0,-59.0,-62.0,-68.0,-67.0,-66.0,-53.0,-52.0,4
-58.0,-58.0,-66.0,-65.0,-58.0,-55.0,-54.0,-50.0,4
-62.0,-58.0,-68.0,-66.0,-66.0,-56.0,-54.0,-49.0,4
-62.0,-58.0,-66.0,-65.0,-73.0,-64.0,-60.0,-50.0,4
-62.0,-60.0,-66.0,-65.0,-70.0,-57.0,-53.0,-48.0,4
-61.0,-58.0,-64.0,-62.0,-65.0,-57.0,-53.0,-49.0,4
-61.0,-67.0,-59.0,-57.0,-63.0,-63.0,-52.0,-50.0,4
-61.0,-68.0,-60.0,-56.0,-62.0,-53.0,-52.0,-48.0,5
-64.0,-69.0,-61.0,-61.0,-63.0,-60.0,-52.0,-50.0,5
-61.0,-69.0,-60.0,-59.0,-63.0,-58.0,-53.0,-50.0,5
-63.0,-67.0,-60.0,-59.0,-75.0,-59.0,-52.0,-50.0,5
-64.0,-70.0,-60.0,-61.0,-66.0,-58.0,-54.0,-50.0,5
-62.0,-69.0,-62.0,-57.0,-66.0,-58.0,-48.0,-49.0,5
-61.0,-70.0,-62.0,-60.0,-65.0,-58.0,-52.0,-49.0,5
-61.0,-71.0,-64.0,-59.0,-65.0,-57.0,-51.0,-49.0,5
-61.0,-71.0,-59.0,-59.0,-64.0,-57.0,-52.0,-50.0,5
-61.0,-74.0,-62.0,-58.0,-65.0,-59.0,-52.0,-51.0,5
-61.0,-58.0,-61.0,-68.0,-58.0,-58.0,-57.0,-50.0,5
-60.0,-66.0,-57.0,-67.0,-56.0,-57.0,-54.0,-51.0,5
-65.0,-63.0,-57.0,-68.0,-57.0,-56.0,-59.0,-52.0,5
-65.0,-61.0,-57.0,-71.0,-57.0,-57.0,-59.0,-52.0,5
-65.0,-62.0,-57.0,-68.0,-57.0,-60.0,-60.0,-53.0,5
-65.0,-61.0,-57.0,-72.0,-58.0,-57.0,-60.0,-51.0,5
-62.0,-61.0,-59.0,-70.0,-57.0,-58.0,-56.0,-52.0,5
-61.0,-61.0,-57.0,-75.0,-57.0,-56.0,-56.0,-50.0,5
-66.0,-60.0,-57.0,-70.0,-59.0,-56.0,-55.0,-60.0,5
-66.0,-64.0,-57.0,-68.0,-59.0,-55.0,-61.0,-53.0,5
-62.0,-60.0,-58.0,-72.0,-54.0,-54.0,-58.0,-53.0,5
-63.0,-63.0,-58.0,-62.0,-58.0,-57.0,-58.0,-50.0,5
-64.0,-62.0,-56.0,-63.0,-60.0,-55.0,-56.0,-51.0,5
-63.0,-62.0,-56.0,-58.0,-58.0,-58.0,-55.0,-50.0,5
-64.0,-71.0,-55.0,-61.0,-61.0,-56.0,-55.0,-60.0,5
-66.0,-69.0,-58.0,-59.0,-63.0,-58.0,-56.0,-54.0,5
-65.0,-70.0,-58.0,-64.0,-61.0,-58.0,-56.0,-54.0,5
-63.0,-66.0,-57.0,-59.0,-60.0,-56.0,-57.0,-59.0,5
-65.0,-67.0,-56.0,-60.0,-62.0,-55.0,-58.0,-60.0,5
-67.0,-67.0,-56.0,-60.0,-59.0,-57.0,-58.0,-62.0,5
-66.0,-67.0,-57.0,-61.0,-60.0,-55.0,-57.0,-58.0,5
-68.0,-70.0,-59.0,-65.0,-68.0,-58.0,-57.0,-62.0,5
-65.0,-71.0,-56.0,-64.0,-61.0,-58.0,-56.0,-54.0,5
-66.0,-68.0,-57.0,-57.0,-61.0,-59.0,-56.0,-59.0,5
-65.0,-69.0,-57.0,-60.0,-61.0,-56.0,-56.0,-60.0,5
-63.0,-69.0,-58.0,-61.0,-61.0,-52.0,-56.0,-56.0,5
-68.0,-71.0,-59.0,-58.0,-60.0,-56.0,-54.0,-54.0,5
-67.0,-69.0,-57.0,-58.0,-59.0,-58.0,-56.0,-58.0,5
-63.0,-74.0,-59.0,-58.0,-60.0,-58.0,-57.0,-59.0,5
-64.0,-64.0,-64.0,-70.0,-65.0,-57.0,-57.0,-57.0,5
-59.0,-63.0,-64.0,-70.0,-65.0,-60.0,-53.0,-60.0,5
-59.0,-64.0,-66.0,-67.0,-65.0,-59.0,-57.0,-59.0,5
-57.0,-65.0,-63.0,-68.0,-68.0,-55.0,-55.0,-57.0,5
-58.0,-64.0,-65.0,-72.0,-67.0,-61.0,-53.0,-58.0,5
-59.0,-66.0,-65.0,-71.0,-65.0,-57.0,-57.0,-57.0,5
-59.0,-66.0,-63.0,-71.0,-65.0,-59.0,-54.0,-55.0,5
-58.0,-66.0,-63.0,-68.0,-66.0,-60.0,-57.0,-59.0,5
-59.0,-66.0,-64.0,-71.0,-65.0,-58.0,-54.0,-62.0,5
-59.0,-62.0,-64.0,-69.0,-63.0,-60.0,-54.0,-56.0,5
-57.0,-65.0,-65.0,-71.0,-64.0,-58.0,-53.0,-57.0,5
-62.0,-67.0,-66.0,-67.0,-65.0,-61.0,-56.0,-60.0,5
-60.0,-64.0,-64.0,-66.0,-66.0,-59.0,-57.0,-54.0,5
-58.0,-66.0,-66.0,-68.0,-64.0,-56.0,-54.0,-57.0,5
-59.0,-66.0,-64.0,-69.0,-63.0,-57.0,-54.0,-51.0,5
-57.0,-65.0,-62.0,-69.0,-66.0,-59.0,-53.0,-54.0,5
-58.0,-64.0,-62.0,-67.0,-64.0,-59.0,-55.0,-57.0,5
-56.0,-64.0,-64.0,-68.0,-62.0,-60.0,-54.0,-55.0,5
-60.0,-63.0,-76.0,-70.0,-65.0,-55.0,-55.0,-57.0,5
-63.0,-61.0,-55.0,-63.0,-65.0,-65.0,-60.0,-56.0,5
-67.0,-59.0,-56.0,-68.0,-64.0,-63.0,-60.0,-58.0,6
-60.0,-56.0,-60.0,-60.0,-64.0,-61.0,-60.0,-58.0,6
-63.0,-56.0,-57.0,-65.0,-65.0,-62.0,-59.0,-60.0,6
-62.0,-57.0,-56.0,-65.0,-65.0,-62.0,-60.0,-58.0,6
-63.0,-73.0,-57.0,-59.0,-64.0,-57.0,-59.0,-59.0,6
-63.0,-66.0,-55.0,-60.0,-65.0,-60.0,-60.0,-59.0,6
-64.0,-64.0,-55.0,-61.0,-62.0,-63.0,-59.0,-58.0,6
-64.0,-67.0,-55.0,-60.0,-63.0,-64.0,-58.0,-59.0,6
-64.0,-65.0,-56.0,-66.0,-67.0,-64.0,-58.0,-59.0,6
-61.0,-66.0,-55.0,-59.0,-65.0,-62.0,-58.0,-60.0,6
-62.0,-68.0,-57.0,-59.0,-63.0,-60.0,-59.0,-59.0,6
-63.0,-59.0,-56.0,-59.0,-64.0,-63.0,-60.0,-60.0,6
-62.0,-60.0,-56.0,-57.0,-64.0,-63.0,-57.0,-58.0,6
-59.0,-56.0,-63.0,-66.0,-59.0,-64.0,-63.0,-54.0,6
-57.0,-57.0,-64.0,-66.0,-59.0,-65.0,-67.0,-50.0,6
-58.0,-56.0,-66.0,-66.0,-59.0,-64.0,-64.0,-53.0,6
-57.0,-55.0,-60.0,-66.0,-61.0,-65.0,-63.0,-55.0,6
-58.0,-55.0,-63.0,-64.0,-61.0,-64.0,-62.0,-53.0,6
-57.0,-56.0,-64.0,-66.0,-62.0,-65.0,-64.0,-54.0,6
-57.0,-56.0,-60.0,-68.0,-60.0,-61.0,-63.0,-55.0,6
-57.0,-56.0,-64.0,-65.0,-57.0,-66.0,-61.0,-51.0,6
-57.0,-56.0,-66.0,-64.0,-59.0,-63.0,-65.0,-52.0,6
-56.0,-56.0,-65.0,-64.0,-60.0,-63.0,-64.0,-54.0,6
-58.0,-56.0,-64.0,-65.0,-59.0,-65.0,-64.0,-54.0,6
-56.0,-57.0,-62.0,-64.0,-59.0,-63.0,-66.0,-52.0,6
-57.0,-56.0,-63.0,-63.0,-58.0,-64.0,-67.0,-54.0,6
-67.0,-58.0,-57.0,-58.0,-58.0,-59.0,-57.0,-60.0,6
-69.0,-58.0,-59.0,-58.0,-59.0,-58.0,-56.0,-59.0,6
-67.0,-58.0,-59.0,-62.0,-57.0,-60.0,-55.0,-58.0,6
-62.0,-58.0,-60.0,-60.0,-58.0,-59.0,-56.0,-58.0,6
-67.0,-56.0,-61.0,-58.0,-58.0,-61.0,-56.0,-57.0,6
-62.0,-57.0,-57.0,-60.0,-60.0,-62.0,-54.0,-59.0,6
-66.0,-56.0,-57.0,-59.0,-59.0,-59.0,-54.0,-57.0,6
-67.0,-57.0,-58.0,-66.0,-60.0,-61.0,-56.0,-58.0,6
-66.0,-57.0,-58.0,-58.0,-60.0,-62.0,-55.0,-54.0,6
-67.0,-58.0,-57.0,-58.0,-59.0,-59.0,-54.0,-57.0,6
-68.0,-57.0,-57.0,-60.0,-60.0,-55.0,-55.0,-58.0,6
-66.0,-57.0,-59.0,-61.0,-60.0,-62.0,-55.0,-56.0,6
-65.0,-58.0,-59.0,-60.0,-60.0,-61.0,-56.0,-57.0,6
-66.0,-58.0,-58.0,-59.0,-60.0,-57.0,-59.0,-57.0,6
-70.0,-58.0,-55.0,-55.0,-59.0,-61.0,-58.0,-52.0,6
-68.0,-56.0,-58.0,-58.0,-58.0,-60.0,-53.0,-56.0,6
-67.0,-59.0,-61.0,-57.0,-57.0,-62.0,-56.0,-59.0,6
