AP1,AP2,AP3,AP4,AP5,AP6,AP7,AP8,Class
-59,-58,-60,-56,-58,-59,-56,-62,7
-58,-58,-74,-59,-60,-67,-56,-64,7
-58,-58,-72,-62,-59,-66,-56,-69,7
-58,-58,-67,-60,-59,-68,-56,-69,7
-58,-58,-66,-59,-60,-66,-56,-71,7
-58,-57,-65,-60,-58,-66,-55,-68,7
-58,-56,-63,-57,-60,-67,-56,-71,7
-58,-57,-67,-60,-58,-69,-55,-72,7
-60,-58,-65,-58,-59,-68,-55,-70,7
-58,-58,-70,-59,-58,-66,-54,-64,7
-59,-58,-68,-60,-59,-69,-57,-62,7
-63,-63,-57,-59,-63,-58,-60,-57,7
-69,-60,-59,-57,-62,-59,-65,-57,7
-67,-60,-56,-58,-62,-57,-64,-55,7
-67,-64,-57,-56,-63,-60,-63,-56,7
-66,-63,-57,-59,-62,-59,-61,-55,7
-69,-61,-57,-61,-59,-60,-61,-57,7
-65,-60,-57,-63,-61,-59,-60,-56,7
-69,-60,-58,-65,-60,-62,-63,-57,7
-66,-62,-58,-60,-62,-61,-63,-55,7
-67,-60,-57,-57,-59,-59,-61,-57,7
-68,-61,-58,-60,-63,-63,-61,-56,7
-66,-60,-57,-65,-65,-63,-62,-56,7
-64,-63,-56,-58,-62,-61,-61,-57,7
-68,-59,-57,-59,-65,-58,-60,-53,7
-66,-60,-56,-57,-66,-60,-60,-57,7
-70,-65,-59,-58,-60,-59,-61,-57,7
-67,-61,-57,-59,-64,-62,-60,-54,7
-73,-59,-57,-58,-69,-58,-61,-56,7
-68,-59,-57,-62,-62,-59,-62,-60,7
-58,-62,-59,-57,-59,-63,-57,-62,7
-59,-64,-58,-58,-56,-64,-60,-68,7
-59,-69,-64,-57,-58,-62,-60,-64,7
-58,-69,-58,-57,-56,-62,-59,-62,7
-60,-68,-61,-57,-55,-62,-58,-64,7
-60,-68,-61,-56,-58,-63,-58,-63,7
-60,-69,-60,-57,-56,-64,-58,-63,7
-61,-70,-58,-58,-59,-62,-58,-62,7
-60,-67,-61,-59,-57,-62,-56,-62,7
-68,-63,-58,-55,-60,-55,-52,-59,8
-68,-68,-59,-53,-61,-54,-55,-63,8
-67,-66,-55,-53,-60,-54,-55,-64,8
-67,-64,-57,-54,-59,-55,-54,-65,8
-68,-65,-57,-54,-60,-55,-56,-66,8
-69,-70,-56,-52,-61,-54,-54,-59,8
-70,-67,-57,-51,-59,-55,-53,-62,8
-67,-67,-59,-52,-58,-55,-55,-61,8
-68,-70,-58,-51,-58,-53,-55,-60,8
-67,-67,-58,-51,-59,-54,-56,-63,8
-71,-70,-58,-53,-59,-56,-56,-61,8
-67,-65,-56,-52,-59,-56,-56,-64,8
-58,-58,-56,-58,-61,-57,-56,-65,8
-59,-57,-56,-59,-64,-53,-56,-61,8
-61,-58,-56,-59,-63,-54,-55,-62,8
-59,-57,-56,-60,-62,-52,-56,-64,8
-60,-58,-57,-57,-64,-55,-58,-63,8
-60,-58,-56,-59,-62,-54,-56,-63,8
-59,-57,-56,-62,-62,-55,-57,-62,8
-59,-56,-56,-58,-63,-56,-57,-61,8
-60,-58,-56,-60,-62,-55,-56,-61,8
-60,-56,-57,-60,-65,-55,-56,-63,8
-59,-57,-57,-61,-62,-55,-55,-69,8
-68,-63,-57,-58,-67,-65,-60,-57,8
-70,-67,-58,-58,-67,-71,-60,-57,8
-71,-65,-58,-61,-66,-66,-59,-57,8
-71,-64,-57,-60,-67,-73,-59,-56,8
-69,-66,-57,-57,-64,-71,-59,-57,8
-70,-63,-57,-56,-67,-72,-60,-58,8
-77,-65,-57,-63,-68,-71,-62,-58,8
-71,-63,-62,-57,-67,-68,-65,-52,8
-68,-64,-56,-60,-64,-67,-61,-57,8
-65,-70,-58,-57,-65,-69,-60,-53,8
-67,-64,-55,-56,-69,-68,-62,-60,8
-63,-64,-56,-59,-65,-71,-61,-63,8
-61,-67,-55,-59,-75,-67,-61,-54,8
-61,-67,-56,-60,-73,-64,-61,-55,8
-61,-68,-57,-64,-67,-72,-59,-53,8
-63,-69,-56,-63,-71,-63,-61,-56,8
-61,-70,-57,-62,-75,-65,-62,-52,8
-62,-71,-59,-57,-66,-67,-68,-55,8
-62,-69,-56,-57,-66,-66,-61,-55,8
-61,-69,-57,-61,-65,-68,-60,-55,8
-63,-79,-56,-59,-63,-69,-59,-55,8
-64,-77,-56,-61,-64,-65,-61,-54,8
-67,-57,-70,-60,-64,-64,-65,-61,8
-67,-61,-68,-56,-64,-66,-79,-61,8
-67,-59,-69,-55,-61,-65,-67,-61,8
-67,-62,-72,-58,-62,-75,-66,-61,8
-66,-59,-68,-56,-61,-66,-67,-61,8
-64,-63,-60,-62,-68,-58,-52,-48,9
-62,-57,-59,-63,-76,-58,-55,-49,9
-62,-60,-59,-62,-66,-59,-55,-49,9
-63,-60,-58,-66,-63,-61,-52,-48,9
-64,-60,-58,-63,-65,-58,-54,-49,9
-62,-60,-58,-63,-66,-59,-55,-50,9
-63,-60,-57,-61,-67,-56,-57,-49,9
-62,-60,-58,-68,-66,-59,-54,-48,9
-63,-60,-58,-68,-64,-57,-57,-46,9
-64,-60,-60,-67,-67,-60,-56,-47,9
-64,-60,-59,-67,-68,-60,-55,-52,9
-67,-58,-59,-67,-66,-57,-57,-52,9
-66,-59,-59,-63,-72,-57,-57,-53,9
-69,-62,-58,-64,-64,-56,-56,-53,9
-64,-69,-65,-66,-63,-56,-55,-52,9
-63,-72,-60,-65,-59,-59,-54,-49,9
-63,-69,-65,-64,-63,-58,-55,-54,9
